,id_str,created_at,user.screen_name,user.location,retweeted_status.created_at,text,extended_tweet.full_text
6321,1186713147987628033,Tue Oct 22 18:37:17 +0000 2019,LucianoDutto2,Viedma- Río Negro ,Tue Oct 22 04:53:38 +0000 2019,RT @Nico_belic: Hacen que se desnude una mujer en la comisaria de Quilpue #ChileDesperto #renunciapiñera @diego_ibanezc @Izquierda_Tuit htt…,
6340,1186713153020858370,Tue Oct 22 18:37:18 +0000 2019,honeyvyoongi,micasa,Tue Oct 22 18:21:05 +0000 2019,RT @macanuezmoscada: NO ESTAMOS EN GUERRA. NOS ESTAN MATANDO! #ContigoCHV #22Oct #PineraDictador #renunciapiñera #CNNChile  #TVNInforma #me…,
6415,1186713172281085958,Tue Oct 22 18:37:22 +0000 2019,Jack17828645,,Tue Oct 22 18:15:28 +0000 2019,"RT @yslict: #EstoPasaEnChileً
Bien cagao nos tiene piñera que hasta hizo que se uniera el colo, la cato y la u 🙌 https://t.co/8GNHN53XfD",
6439,1186713177519726594,Tue Oct 22 18:37:24 +0000 2019,devilsuser,,Tue Oct 22 18:33:55 +0000 2019,"RT @AleDiezRT: Presidente @sebastianpinera 

#PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEst…",
6460,1186713182003515399,Tue Oct 22 18:37:25 +0000 2019,carlainostrozaa,Chile,,"Te demoraste mucho Piñera, manchaste tus manos con sangre inocente, tú y el 🐷Ahora el pueblo exige tu renuncia. Est… https://t.co/IE6v271XXJ","Te demoraste mucho Piñera, manchaste tus manos con sangre inocente, tú y el 🐷Ahora el pueblo exige tu renuncia. Esto no va a parar  #PiñeraDictador #RenunciaPiñera #RenunciaChadwick"
6461,1186713182095728642,Tue Oct 22 18:37:25 +0000 2019,Liam8JM,"Empordà, Girona, Catalunya",Tue Oct 22 17:34:24 +0000 2019,"RT @NegroPrimeroh: @ChalecosAmarill @CIDH @albertoelizondo #22Oct así se vive en la dictadura impuesta por el genocida @sebastianpinera

@C…",
6498,1186713190920536064,Tue Oct 22 18:37:27 +0000 2019,SingyYupi,Chile,Tue Oct 22 18:33:55 +0000 2019,"RT @AleDiezRT: Presidente @sebastianpinera 

#PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEst…",
6509,1186713192858312704,Tue Oct 22 18:37:27 +0000 2019,yanezcoromoto,,Tue Oct 22 03:29:56 +0000 2019,RT @DrodriguezVen: Es lamentable q violación descarada y masiva de los DDHH en la dictadura pinochetista de @sebastianpinera cuente con la…,
6523,1186713195970486276,Tue Oct 22 18:37:28 +0000 2019,asesorlsotod,"Viña del Mar, Mi ciudad bella",,"@Ejercito_Chile  estas imágenes no  están en sua archivos, dejando pasar al lumpen para que saquee
@sebastianpinera… https://t.co/QyLvfoq8dr","@Ejercito_Chile  estas imágenes no  están en sua archivos, dejando pasar al lumpen para que saquee
@sebastianpinera @andreschadwickp"
6544,1186713200651165696,Tue Oct 22 18:37:29 +0000 2019,eIiqse,,Tue Oct 22 03:50:09 +0000 2019,"RT @BienDije: A él lo asesinaron en Curicó, ciudad sin toque de queda. #piñeradictador #piñerarenuncia https://t.co/9dEW1871wS",
6562,1186713205298606080,Tue Oct 22 18:37:30 +0000 2019,pada1616,,Tue Oct 22 18:36:04 +0000 2019,RT @sandraolivarest: @Heraldo Muñoz parece que fue solo a la cita con piñera. Le dijo todo lo que tenía que hacer. Yoyo yoyo yoyo🤦‍♀️ #Esto…,
6572,1186713207240564737,Tue Oct 22 18:37:31 +0000 2019,ArreguiVincho,"Guayaquil, Ecuador",Tue Oct 22 08:58:53 +0000 2019,RT @amaurichamorro: Policía chilena robándose televisores. ¿Qué dirá @sebastianpinera? https://t.co/Fwq4vnPZwL,
6593,1186713212315721728,Tue Oct 22 18:37:32 +0000 2019,Carol_MH_44,"Santiago, Chile",Tue Oct 22 17:23:12 +0000 2019,"RT @dontknow505: #YaVan17Vidas
#QueSeVayanLosMilicos y ustedes también!!! 
@ceciperez1 @sebastianpinera @andreschadwickp @larra https://t.c…",
6631,1186713223757815808,Tue Oct 22 18:37:35 +0000 2019,celii10,"La Calera, Argentina",Tue Oct 22 10:17:11 +0000 2019,RT @ConiiJesu: #pineradictador que se sepa!!! #RenunciaPiñera tenemos cachado todo el montaje! Que se sepa que lo que estan quemando es un…,
6639,1186713226198827014,Tue Oct 22 18:37:35 +0000 2019,LuisaRo09527148,"Valencia, Venezuela",Tue Oct 22 18:21:32 +0000 2019,"RT @RomelGuardian: No son imágenes de Septiembre de 1973, son de Octubre del 2019 
""La dictadura pinochetista de @sebastianpinera 
Represió…",
6676,1186713237716459526,Tue Oct 22 18:37:38 +0000 2019,Mecacho2,La Patria Grande.,Tue Oct 22 02:30:50 +0000 2019,"RT @KekaixZadark: #Piñerarenuncia #Piñeradictador 
Militares golpeando a bombero por ir a apagar un incendio que los mismos militares inici…",
6686,1186713240216227846,Tue Oct 22 18:37:39 +0000 2019,GAJM_33,"Concepción, Chile",Tue Oct 22 18:37:25 +0000 2019,"RT @carlainostrozaa: Te demoraste mucho Piñera, manchaste tus manos con sangre inocente, tú y el 🐷Ahora el pueblo exige tu renuncia. Esto n…",
6705,1186713245475848193,Tue Oct 22 18:37:40 +0000 2019,Android_Mk_11,"Distrito Capital, Venezuela",Tue Oct 22 18:35:50 +0000 2019,RT @duglifico: Hoy 17 se suman a los mas d 40.000 q tu forjador Pinochet silencio con el vuelo cruel del cóndor oscuro ..@sebastianpinera c…,
6708,1186713245836546049,Tue Oct 22 18:37:40 +0000 2019,DaniRodriguezv,Chile,Tue Oct 22 18:34:56 +0000 2019,RT @YerkoObilinovic: ahí está la dictadura de piñera #renunciapiñera #piñeradictador https://t.co/B14rUKxlG6,
